mineID,lat,lon,HQboost,fullrate,rawrate,techfactor,name,builddate,lastmaintenance,condition,resourceName,resourceID,lastenemyaction,def1,def2,def3,attackpenalty,attackcount,attacklost,quality,qualityInclTU
4,-25.385224,-57.432707,1,1074.0,1074.0,1.0000,"Mina arcilla",1629826431,1640264209,0.957531,Arcilla,2,1629826431,200,5,2,1,0,0,0.7020,0.7020
4,-25.384445,-57.432362,1,1152.0,1152.0,1.0000,"Mina arcilla",1629826452,1640264934,0.957867,Arcilla,2,1629826452,200,5,2,1,0,0,0.7529,0.7529
4,-25.381947,-57.438309,1,1140.0,1140.0,1.0000,"Mina arcilla",1629826593,1640264711,0.957763,Arcilla,2,1629826593,200,5,2,1,0,0,0.7451,0.7451
4,-25.380962,-57.440876,1,1386.0,1386.0,1.0000,"Mina arcilla",1629826689,1640266108,0.958410,Arcilla,2,1629826689,200,5,2,1,0,0,0.9059,0.9059
4,-25.375104,-57.439545,1,1332.0,1332.0,1.0000,"Mina arcilla",1629826770,1640266878,0.958767,Arcilla,2,1629826770,200,5,2,1,0,0,0.8706,0.8706
4,-25.366676,-57.435088,1,1032.0,1032.0,1.0000,"Mina arcilla",1629826942,1639844186,0.763076,Arcilla,2,1629826942,200,5,2,1,0,0,0.6745,0.6745
4,-25.365574,-57.434501,1,1110.0,1110.0,1.0000,"Mina arcilla",1629826964,1640264509,0.957670,Arcilla,2,1629826964,200,5,2,1,0,0,0.7255,0.7255
4,-25.364111,-57.433684,1,942.0,942.0,1.0000,"Mina arcilla",1629826995,1639844198,0.763081,Arcilla,2,1629826995,200,5,2,1,0,0,0.6157,0.6157
4,-25.362924,-57.432950,1,1008.0,1008.0,1.0000,"Mina arcilla",1629827014,1639844190,0.763078,Arcilla,2,1629827014,200,5,2,1,0,0,0.6588,0.6588
4,-25.355159,-57.441416,1,942.0,942.0,1.0000,"Mina arcilla",1629827214,1639844199,0.763082,Arcilla,2,1629827214,200,5,2,1,0,0,0.6157,0.6157
4,-25.352412,-57.444198,1,1272.0,1272.0,1.0000,"Mina arcilla",1629827265,1640267125,0.958881,Arcilla,2,1629827265,200,5,2,1,0,0,0.8314,0.8314
4,-25.352037,-57.444817,1,1452.0,1452.0,1.0000,"Mina arcilla",1629827271,1640265681,0.958213,Arcilla,2,1629827271,200,5,2,1,0,0,0.9490,0.9490
4,-25.351721,-57.445452,1,1044.0,1044.0,1.0000,"Mina arcilla",1629827279,1639844185,0.763075,Arcilla,2,1629827279,200,5,2,1,0,0,0.6824,0.6824
4,-25.349200,-57.454725,1,966.0,966.0,1.0000,"Mina arcilla",1629827371,1639844197,0.763081,Arcilla,2,1629827371,200,5,2,1,0,0,0.6314,0.6314
4,-25.347410,-57.468483,1,1122.0,1122.0,1.0000,"Mina arcilla",1629827527,1640264603,0.957713,Arcilla,2,1629827527,200,5,2,1,0,0,0.7333,0.7333
4,-25.341995,-57.488122,1,930.0,930.0,1.0000,"Mina arcilla",1629833434,1639842813,0.762440,Arcilla,2,1629833434,200,5,2,1,0,0,0.6078,0.6078
4,-25.348021,-57.464852,1,1362.0,1362.0,1.0000,"Mina arcilla",1629836256,1640266646,0.958659,Arcilla,2,1629836256,200,5,2,1,0,0,0.8902,0.8902
4,-25.348214,-57.463532,1,1032.0,1032.0,1.0000,"Mina arcilla",1629836264,1639844188,0.763077,Arcilla,2,1629836264,200,5,2,1,0,0,0.6745,0.6745
4,-25.380598,-57.440730,1,1008.0,1008.0,1.0000,"Mina arcilla",1630529707,1639842455,0.762275,Arcilla,2,1630529707,200,5,2,1,0,0,0.6588,0.6588
4,-25.374713,-57.439128,1,1032.0,1032.0,1.0000,"Mina arcilla",1630529798,1639841283,0.761732,Arcilla,2,1630529798,200,5,2,1,0,0,0.6745,0.6745
4,-25.382425,-57.437204,1,1230.0,1230.0,1.0000,"Mina arcilla",1630593209,1640266203,0.958454,Arcilla,2,1630593209,200,5,2,1,0,0,0.8039,0.8039
4,-25.382314,-57.437498,1,1272.0,1272.0,1.0000,"Mina arcilla",1630593217,1640266184,0.958445,Arcilla,2,1630593217,200,5,2,1,0,0,0.8314,0.8314
4,-25.382206,-57.437763,1,1362.0,1362.0,1.0000,"Mina arcilla",1630593228,1640266171,0.958439,Arcilla,2,1630593228,200,5,2,1,0,0,0.8902,0.8902
4,-25.363844,-57.433525,1,1044.0,1044.0,1.0000,"Mina arcilla",1630593704,1639844048,0.763012,Arcilla,2,1630593704,200,5,2,1,0,0,0.6824,0.6824
4,-25.363558,-57.433333,1,1062.0,1062.0,1.0000,"Mina arcilla",1630593711,1639844038,0.763007,Arcilla,2,1630593711,200,5,2,1,0,0,0.6941,0.6941
4,-25.418797,-57.455458,1,1032.0,1032.0,1.0000,"Mina arcilla",1630676329,1639844451,0.763199,Arcilla,2,1630676329,200,5,2,1,0,0,0.6745,0.6745
4,-25.419313,-57.455238,1,996.0,996.0,1.0000,"Mina arcilla",1630676339,1639844457,0.763201,Arcilla,2,1630676339,200,5,2,1,0,0,0.6510,0.6510
4,-25.423716,-57.453046,1,1020.0,1020.0,1.0000,"Mina arcilla",1630676411,1639844453,0.763200,Arcilla,2,1630676411,200,5,2,1,0,0,0.6667,0.6667
4,-25.440605,-57.443228,1,1152.0,1152.0,1.0000,"Mina arcilla",1630676602,1640264932,0.957866,Arcilla,2,1630676602,200,5,2,1,0,0,0.7529,0.7529
4,-25.440890,-57.443001,1,978.0,978.0,1.0000,"Mina arcilla",1630676617,1639844464,0.763205,Arcilla,2,1630676617,200,5,2,1,0,0,0.6392,0.6392
4,-25.470174,-57.419709,1,996.0,996.0,1.0000,"Mina arcilla",1630677015,1639844354,0.763154,Arcilla,2,1630677015,200,5,2,1,0,0,0.6510,0.6510
4,-25.479439,-57.410239,1,1098.0,1098.0,1.0000,"Mina arcilla",1630677135,1640264460,0.957647,Arcilla,2,1630677135,200,5,2,1,0,0,0.7176,0.7176
4,-25.479853,-57.409743,1,1008.0,1008.0,1.0000,"Mina arcilla",1630677142,1639844192,0.763079,Arcilla,2,1630677142,200,5,2,1,0,0,0.6588,0.6588
4,-25.480673,-57.408765,1,1332.0,1332.0,1.0000,"Mina arcilla",1630677150,1640266884,0.958769,Arcilla,2,1630677150,200,5,2,1,0,0,0.8706,0.8706
4,-25.494801,-57.392767,1,1086.0,1086.0,1.0000,"Mina arcilla",1630677316,1640264319,0.957582,Arcilla,2,1630677316,200,5,2,1,0,0,0.7098,0.7098
4,-25.494968,-57.392107,1,978.0,978.0,1.0000,"Mina arcilla",1630677325,1639843907,0.762947,Arcilla,2,1630677325,200,5,2,1,0,0,0.6392,0.6392
4,-25.503990,-57.371406,1,1122.0,1122.0,1.0000,"Mina arcilla",1630677503,1640264605,0.957714,Arcilla,2,1630677503,200,5,2,1,0,0,0.7333,0.7333
4,-25.504889,-57.369873,1,1518.0,1518.0,1.0000,"Mina arcilla",1630677515,1640265527,0.958141,Arcilla,2,1630677515,200,5,2,1,0,0,0.9922,0.9922
